codiv_taxa	codiv_clade	codiv_lineage	hostSpecies
Chimp934253 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp1324508 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp3094087 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp7736952 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp6973327 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp9931019 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp8269086 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp10218980 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp6973326 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp11943611 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp9931021 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp168543 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp9057407 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp985651 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Chimp3970093 Bt2_clade1_chimp	Bt2_clade1_chimp	Bt2	chimp
Bonobo11725448 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo5054462 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo11725461 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo3994923 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo3681147 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo5703402 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo6757253 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo6396279 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo1787673 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4568548 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4400446 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
