SampleID	dataset	Description_country_zoo	captivity_status	Description	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	PD	SR
we.hum.UMN.CS385.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	104	104	0.4975903474206	104.145454545455	3.63781028280742	4.02076416572359	0.974791924837822	39.669827766159	13.231685115	104
we.hum.UMN.CS387.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	115	115	0.497821340398864	115.189726856613	3.95206256371084	4.05260874681033	0.973885026260981	38.292207757646	12.403626803	115
we.hum.UMN.CS389.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	96	96	0.124347254024097	96.2289234419976	4.27856380007246	3.67695527091337	0.95730759858372	23.4233720012446	10.593907584	96
nw.hum.Thai.TCS005.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	131	131.5	1.29739062485439	131.485702706615	4.51437325124064	4.00861759018014	0.967263804866053	30.5472274926362	14.315578497	131
nw.hum.Thai.TCS012.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	75	75	0.496655480858378	75.4174693877551	2.492574344065	3.6847392502469	0.96329385992015	27.243398456624	8.771069989	75
nw.hum.Thai.TCS016.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	119	119	0.124473681872883	119.197732146417	4.42078705999023	4.05086836107504	0.97394759495549	38.3841721442421	12.159144522	119
nw.hum.Thai.TCS017.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	162	162.5	1.29770507494517	162.421077030642	5.77581267544355	4.04749076488678	0.961596125609821	26.0390394427428	18.162075696	162
nw.hum.Thai.TCS019.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	108	108.142857142857	0.48677135455338	108.600655537991	4.84522002405945	3.42522699766532	0.939064128007249	16.4106948386487	12.455463447	108
nw.hum.Thai.TCS024.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	146	146.2	0.621293826745323	146.485429975018	5.11916162341613	4.02375914398523	0.962780165179765	26.8673948938736	14.133593302	146
nw.hum.Thai.TCS025.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	121	121	0.0829882662886615	121.281481353523	4.62236795810975	4.04321170483129	0.974206070581141	38.7688119852286	13.706568685	121
nw.hum.Thai.TCS026.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	60	60	0	60	2.32379000772445	3.34643840980863	0.952330895345112	20.9779480281774	7.739163776	60
nw.hum.Thai.TCS027.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	129	129	0.249029122545876	129.175529640428	5.07299779896823	3.82934050918705	0.960884955253157	25.5656105335458	14.186851899	129
nw.hum.Thai.TCS028.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	154	154	0.0622967474292177	154.260609198659	5.55371256517861	4.01886887806371	0.962559953557389	26.709368577649	14.408032866	154
nw.hum.Thai.TCS033.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	144	144	0.166086954765297	144.15758385624	4.91146860332592	4.13712618788074	0.971617402540174	35.2328570848894	14.701191801	144
nw.hum.Thai.TCS034.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	128	128	0.249021522664207	128.164102564103	4.8748296742801	3.7460506452502	0.954080416121731	21.7772008267965	14.417730308	128
nw.hum.Thai.TCS035.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	140	141.5	2.59501424657541	140.704973524026	4.83799002969599	4.10890831979083	0.969557758669031	32.8490924543944	15.036189531	140
nw.hum.Thai.TCS037.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	100	100	0	100	4.38634243989226	3.52638858144228	0.95011380711384	20.0456266983932	10.947017771	100
nw.hum.Thai.TCS038.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	155	155.333333333333	0.925609546965677	155.387511046752	5.53358363331966	4.18995706052683	0.972854995829283	36.8391912453183	19.047145126	155
nw.hum.Thai.TCS039.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	167	168.428571428571	1.93466373502664	168.322521811362	6.14487324531465	3.88874015486222	0.951624331759989	20.6715490737738	16.428746513	167
nw.hum.Thai.TCS044.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	142	142.2	0.621284907839278	142.457220615514	5.55520289655601	3.99978491684023	0.968701435295273	31.9503469067691	14.686086799	142
nw.hum.Thai.TCS046.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	117	120	4.17707034495071	118.110077862995	4.71353595136835	3.69264966528848	0.951529138385987	20.6309516006397	14.095854099	117
nw.hum.Thai.TCS048.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	113	113	0.497782694174345	113.184659324402	3.46677285887376	4.11897101779372	0.976335630153131	42.2576221750648	13.190606659	113
nw.hum.Thai.TCS052.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	101	101	0	101	3.92756191221188	3.96547379850325	0.972319816059555	36.1269275576904	11.636875359	101
