comparison	Genus	group1	group2	group1_n	group2_n	group1_mean	group2_mean	df	statistic	p	p_adj_bonferroni
gorilla.kruskal	Methanobrevibacter	captive_gorilla	wild_gorilla	21	176	0.0045	0.0053	1	13.2	0	0.223
cp_wd.kruskal	Catenibacterium	captive_ape	wild_ape	77	377	0.0061	0	1	316.5	0	0
bonobo.kruskal	Catenibacterium	captive_bonobo	wild_bonobo	9	69	0.0111	0	1	76.6	0	0
chimp.kruskal	Catenibacterium	captive_chimp	wild_chimp	25	132	0.0069	0	1	112.8	0	0
gorilla.kruskal	Catenibacterium	captive_gorilla	wild_gorilla	21	176	0.0074	0	1	135.1	0	0
cp_wd.kruskal	Oribacterium	captive_ape	wild_ape	77	377	0.0032	0.0174	1	4.9	0.028	1
bonobo.kruskal	Oribacterium	captive_bonobo	wild_bonobo	9	69	0.0019	0.0483	1	14.1	0	0.14
chimp.kruskal	Oribacterium	captive_chimp	wild_chimp	25	132	0.0032	0.0188	1	10.5	0.001	0.965
gorilla.kruskal	Oribacterium	captive_gorilla	wild_gorilla	21	176	0.0024	0.0042	1	1.6	0.207	1
cp_wd.kruskal	Stenotrophomonas	captive_ape	wild_ape	77	377	0	0.0081	1	38	0	0
bonobo.kruskal	Stenotrophomonas	captive_bonobo	wild_bonobo	9	69	0	0.0024	1	3.4	0.066	1
chimp.kruskal	Stenotrophomonas	captive_chimp	wild_chimp	25	132	0	0	1	0.4	0.537	1
gorilla.kruskal	Stenotrophomonas	captive_gorilla	wild_gorilla	21	176	0	0.0163	1	25.4	0	0
cp_wd.kruskal	Lachnospiraceae_ND3007_group	captive_ape	wild_ape	77	377	0.0041	0.0087	1	1.7	0.187	1
bonobo.kruskal	Lachnospiraceae_ND3007_group	captive_bonobo	wild_bonobo	9	69	0.0035	0.0135	1	3.6	0.056	1
chimp.kruskal	Lachnospiraceae_ND3007_group	captive_chimp	wild_chimp	25	132	0.0058	0.0072	1	4.9	0.027	1
gorilla.kruskal	Lachnospiraceae_ND3007_group	captive_gorilla	wild_gorilla	21	176	0.0037	0.008	1	9.3	0.002	1
cp_wd.kruskal	Chishuiella	captive_ape	wild_ape	77	377	0	0.0111	1	45.3	0	0
bonobo.kruskal	Chishuiella	captive_bonobo	wild_bonobo	9	69	0	8e-04	1	3.6	0.058	1
chimp.kruskal	Chishuiella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Chishuiella	captive_gorilla	wild_gorilla	21	176	0	0.0234	1	33.6	0	0
cp_wd.kruskal	Holdemanella	captive_ape	wild_ape	77	377	0.005	0.0055	1	12.2	0	0.385
bonobo.kruskal	Holdemanella	captive_bonobo	wild_bonobo	9	69	0.0036	0.0195	1	15	0	0.087
chimp.kruskal	Holdemanella	captive_chimp	wild_chimp	25	132	0.0052	0.0039	1	3.4	0.066	1
gorilla.kruskal	Holdemanella	captive_gorilla	wild_gorilla	21	176	0.0045	0.0013	1	17.2	0	0.027
cp_wd.kruskal	Erysipelotrichaceae_UCG-003	captive_ape	wild_ape	77	377	0.0024	0.0033	1	0	0.866	1
bonobo.kruskal	Erysipelotrichaceae_UCG-003	captive_bonobo	wild_bonobo	9	69	0.0048	0.0042	1	1.2	0.273	1
chimp.kruskal	Erysipelotrichaceae_UCG-003	captive_chimp	wild_chimp	25	132	0.0016	0.0055	1	14.9	0	0.091
gorilla.kruskal	Erysipelotrichaceae_UCG-003	captive_gorilla	wild_gorilla	21	176	0.0037	0.0013	1	17.5	0	0.023
cp_wd.kruskal	Romboutsia	captive_ape	wild_ape	77	377	1e-04	0	1	39.8	0	0
bonobo.kruskal	Romboutsia	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Romboutsia	captive_chimp	wild_chimp	25	132	2e-04	0	1	32.7	0	0
gorilla.kruskal	Romboutsia	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Prevotellaceae_UCG-001	captive_ape	wild_ape	77	377	0.0039	0.0061	1	3	0.084	1
bonobo.kruskal	Prevotellaceae_UCG-001	captive_bonobo	wild_bonobo	9	69	0.0095	0.0152	1	3.7	0.055	1
chimp.kruskal	Prevotellaceae_UCG-001	captive_chimp	wild_chimp	25	132	0.0055	0.0094	1	3.8	0.051	1
gorilla.kruskal	Prevotellaceae_UCG-001	captive_gorilla	wild_gorilla	21	176	0.0019	0	1	149.1	0	0
cp_wd.kruskal	Chryseobacterium	captive_ape	wild_ape	77	377	0	0.0014	1	15.1	0	0.084
bonobo.kruskal	Chryseobacterium	captive_bonobo	wild_bonobo	9	69	0	0	1	0.1	0.718	1
chimp.kruskal	Chryseobacterium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Chryseobacterium	captive_gorilla	wild_gorilla	21	176	0	0.003	1	10.5	0.001	0.973
cp_wd.kruskal	Collinsella	captive_ape	wild_ape	77	377	2e-04	0.0042	1	100.9	0	0
bonobo.kruskal	Collinsella	captive_bonobo	wild_bonobo	9	69	0	0.0076	1	23.6	0	0.001
chimp.kruskal	Collinsella	captive_chimp	wild_chimp	25	132	2e-04	0.0069	1	53.3	0	0
gorilla.kruskal	Collinsella	captive_gorilla	wild_gorilla	21	176	1e-04	9e-04	1	19.4	0	0.009
